Gene_ID	Gene_Name
ENSMUSG00000006342	Susd2
ENSMUSG00000033735	Spr
ENSMUSG00000088088	Rmrp
ENSMUSG00000024082	Ndufaf7
ENSMUSG00000039257	Vstm2b
ENSMUSG00000002100	Mybpc3
ENSMUSG00000043017	Ptgir
ENSMUSG00000058818	Pirb
ENSMUSG00000048550	Thnsl1
ENSMUSG00000026999	Nup35
ENSMUSG00000036473	Tbc1d24
ENSMUSG00000023235	Ccl25
ENSMUSG00000028528	Dnajc6
ENSMUSG00000014177	Tvp23b
ENSMUSG00000029826	Zc3hav1
ENSMUSG00000045052	Prlhr
ENSMUSG00000112380	Gm9736
ENSMUSG00000040938	Slc16a11
ENSMUSG00000060739	Nsa2
ENSMUSG00000004366	Sst
ENSMUSG00000002015	Bcap31
ENSMUSG00000035834	Polr3g
ENSMUSG00000077025	Mir493
ENSMUSG00000003458	Ncstn
ENSMUSG00000033499	Larp4b
ENSMUSG00000036568	Bicral
ENSMUSG00000029205	Chrna9
ENSMUSG00000027684	Mecom
ENSMUSG00000001240	Ramp2
ENSMUSG00000029319	Coq2
ENSMUSG00000060301	2610008E11Rik
ENSMUSG00000066383	Iqcf1
ENSMUSG00000047547	Cltb
ENSMUSG00000014771	Pdcd2
ENSMUSG00000050079	Rspry1
ENSMUSG00000041658	Rragb
ENSMUSG00000020229	Slc5a4a
ENSMUSG00000047921	Trappc9
ENSMUSG00000045757	Zfp764
ENSMUSG00000047143	Dmrta2
ENSMUSG00000097756	A730056A06Rik
ENSMUSG00000045382	Cxcr4
ENSMUSG00000034783	Cd207
ENSMUSG00000031445	Proz
ENSMUSG00000066880	Zfp617
ENSMUSG00000020808	Pimreg
ENSMUSG00000024981	Acsl5
ENSMUSG00000027380	Acoxl
ENSMUSG00000094978	Scgb1b20
ENSMUSG00000113211	4921525O09Rik
ENSMUSG00000027327	1700037H04Rik
ENSMUSG00000028427	Aqp7
ENSMUSG00000033209	Ttc28
ENSMUSG00000031304	Il2rg
ENSMUSG00000022671	Mzt2
ENSMUSG00000068231	Vmn1r43
ENSMUSG00000044674	Fzd1
ENSMUSG00000029192	Tbc1d14
ENSMUSG00000071657	Bscl2
ENSMUSG00000032228	Tcf12
ENSMUSG00000049939	Lrrc4
ENSMUSG00000079602	9230102O04Rik
ENSMUSG00000002985	Apoe
ENSMUSG00000035951	Ascl3
ENSMUSG00000076286	Mir672
ENSMUSG00000025228	Actr1a
ENSMUSG00000068264	Ap5s1
ENSMUSG00000015126	Tsr3
ENSMUSG00000011008	Mcoln2
ENSMUSG00000007107	Atp1a4
ENSMUSG00000017428	Psmd11
ENSMUSG00000043727	F830045P16Rik
ENSMUSG00000044361	BC024139
ENSMUSG00000071550	Cfap44
ENSMUSG00000047238	Mageh1
ENSMUSG00000022583	Ly6f
ENSMUSG00000046160	Olig1
ENSMUSG00000030298	Sec13
ENSMUSG00000041552	Ptchd1
ENSMUSG00000039199	Zdhhc1
ENSMUSG00000040061	Plcb2
ENSMUSG00000022009	Nufip1
ENSMUSG00000027927	Lelp1
ENSMUSG00000063767	S100a7a
ENSMUSG00000091994	E130317F20Rik
ENSMUSG00000090260	2810442N19Rik
ENSMUSG00000002205	Vrk3
ENSMUSG00000031370	Zrsr2
ENSMUSG00000085286	Ube4bos3
ENSMUSG00000045928	4933440M02Rik
ENSMUSG00000025153	Fasn
ENSMUSG00000033765	Calm4
ENSMUSG00000020309	Chac2
ENSMUSG00000043807	Ly6g5b
ENSMUSG00000032745	Gpbp1
ENSMUSG00000073758	Sh3d21
ENSMUSG00000056234	Ncoa4
ENSMUSG00000035403	Crb2
ENSMUSG00000087009	Nphs1os
ENSMUSG00000027739	Rab33b
ENSMUSG00000043257	Pigv
ENSMUSG00000071392	Ect2l
ENSMUSG00000021508	Cxcl14
ENSMUSG00000015568	Lpl
ENSMUSG00000057098	Ebf1
ENSMUSG00000069565	Dazap1
ENSMUSG00000043300	B3galnt1
